Extracting ../MNIST_data/train-images-idx3-ubyte.gz
Extracting ../MNIST_data/train-labels-idx1-ubyte.gz
Extracting ../MNIST_data/t10k-images-idx3-ubyte.gz
Extracting ../MNIST_data/t10k-labels-idx1-ubyte.gz
('Train', (55000, 784), 'Test', (10000, 784))
('Details', 'mnist_uni_noise_kappa_4_adv.csv', 'MNIST Grad -- New Framework', 100, 64, 25)
('minibatch Accuracy (i, batch number)', 0, 50, [0.09916364, 2.3741024, 0.6050655])
('minibatch Accuracy (i, batch number)', 0, 100, [0.09916364, 2.3103898, 0.6019515])
('minibatch Accuracy (i, batch number)', 0, 150, [0.11234546, 2.2983942, 0.60853165])
('minibatch Accuracy (i, batch number)', 0, 200, [0.11241818, 2.2661679, 0.64045405])
('minibatch Accuracy (i, batch number)', 0, 250, [0.14325455, 2.0897222, 0.67091334])
('minibatch Accuracy (i, batch number)', 0, 300, [0.13256364, 1.9560336, 0.6734832])
('minibatch Accuracy (i, batch number)', 0, 350, [0.12385455, 1.8707764, 0.6625032])
('minibatch Accuracy (i, batch number)', 0, 400, [0.12932727, 1.816806, 0.65643525])
('minibatch Accuracy (i, batch number)', 0, 450, [0.18418182, 1.749281, 0.64553106])
('minibatch Accuracy (i, batch number)', 0, 500, [0.12834546, 1.6725508, 0.64681524])
('minibatch Accuracy (i, batch number)', 0, 550, [0.12203636, 1.6091515, 0.64233816])
('minibatch Accuracy (i, batch number)', 0, 600, [0.121181816, 1.5399246, 0.6444527])
('minibatch Accuracy (i, batch number)', 0, 650, [0.12623636, 1.482243, 0.6409104])
('minibatch Accuracy (i, batch number)', 0, 700, [0.12085455, 1.4244182, 0.6377427])
('minibatch Accuracy (i, batch number)', 0, 750, [0.14603636, 1.3611472, 0.6387789])
('minibatch Accuracy (i, batch number)', 0, 800, [0.19565454, 1.3132067, 0.63255864])
('minibatch Accuracy (i, batch number)', 0, 850, [0.21225454, 1.2404051, 0.6321077])
('Accuracy', 0, 'Test', array([0.23119999]), 'Train', array([0.22430909]))
('minibatch Accuracy (i, batch number)', 1, 50, [0.24078181, 1.1836848, 0.6300252])
('minibatch Accuracy (i, batch number)', 1, 100, [0.2527818, 1.1390955, 0.6276096])
('minibatch Accuracy (i, batch number)', 1, 150, [0.25003636, 1.0960238, 0.6257754])
('minibatch Accuracy (i, batch number)', 1, 200, [0.2730909, 1.0489713, 0.6234819])
('minibatch Accuracy (i, batch number)', 1, 250, [0.29770908, 1.0409936, 0.62511325])
('minibatch Accuracy (i, batch number)', 1, 300, [0.27923638, 0.9663906, 0.62274003])
('minibatch Accuracy (i, batch number)', 1, 350, [0.3106, 0.92546314, 0.61879313])
('minibatch Accuracy (i, batch number)', 1, 400, [0.32494545, 0.9006782, 0.6167602])
('minibatch Accuracy (i, batch number)', 1, 450, [0.31967273, 0.8617634, 0.6162573])
('minibatch Accuracy (i, batch number)', 1, 500, [0.30167273, 0.8193581, 0.61590064])
('minibatch Accuracy (i, batch number)', 1, 550, [0.30076364, 0.7976534, 0.6126844])
('minibatch Accuracy (i, batch number)', 1, 600, [0.30927274, 0.77159435, 0.61492795])
('minibatch Accuracy (i, batch number)', 1, 650, [0.35245454, 0.7347337, 0.6154311])
('minibatch Accuracy (i, batch number)', 1, 700, [0.35778183, 0.7162613, 0.6138114])
('minibatch Accuracy (i, batch number)', 1, 750, [0.35756364, 0.72384006, 0.61292076])
('minibatch Accuracy (i, batch number)', 1, 800, [0.36303636, 0.67801136, 0.61309326])
('minibatch Accuracy (i, batch number)', 1, 850, [0.34541818, 0.65631, 0.6165333])
('Accuracy', 1, 'Test', array([0.37029999]), 'Train', array([0.35640001]))
