Extracting ../MNIST_data/train-images-idx3-ubyte.gz
Extracting ../MNIST_data/train-labels-idx1-ubyte.gz
Extracting ../MNIST_data/t10k-images-idx3-ubyte.gz
Extracting ../MNIST_data/t10k-labels-idx1-ubyte.gz
('Train', (55000, 784), 'Test', (10000, 784))
('Details', 'mnist_uni_noise_kappa_4_grad.csv', 'MNIST Grad -- New Framework', 100, 64, 25)
('minibatch Accuracy (i, batch number)', 0, 50, [0.10390909, 2.3698535])
('minibatch Accuracy (i, batch number)', 0, 100, [0.10390909, 2.3372939])
('minibatch Accuracy (i, batch number)', 0, 150, [0.11234546, 2.3179655])
('minibatch Accuracy (i, batch number)', 0, 200, [0.09916364, 2.3076544])
('minibatch Accuracy (i, batch number)', 0, 250, [0.09916364, 2.303683])
('minibatch Accuracy (i, batch number)', 0, 300, [0.11234546, 2.301724])
('minibatch Accuracy (i, batch number)', 0, 350, [0.11234546, 2.2989542])
('minibatch Accuracy (i, batch number)', 0, 400, [0.112381816, 2.2935932])
('minibatch Accuracy (i, batch number)', 0, 450, [0.16672727, 2.2638803])
('minibatch Accuracy (i, batch number)', 0, 500, [0.27194545, 2.1528833])
('minibatch Accuracy (i, batch number)', 0, 550, [0.38167274, 1.9665608])
('minibatch Accuracy (i, batch number)', 0, 600, [0.38305455, 1.8108531])
('minibatch Accuracy (i, batch number)', 0, 650, [0.43965456, 1.6959767])
('minibatch Accuracy (i, batch number)', 0, 700, [0.49992728, 1.5848131])
('minibatch Accuracy (i, batch number)', 0, 750, [0.55765456, 1.4709923])
('minibatch Accuracy (i, batch number)', 0, 800, [0.64196366, 1.3597085])
('minibatch Accuracy (i, batch number)', 0, 850, [0.65476364, 1.2681785])
('Accuracy', 0, 'Test', array([0.66049999]), 'Train', array([0.65749091]))
('minibatch Accuracy (i, batch number)', 1, 50, [0.685, 1.1749629])
('minibatch Accuracy (i, batch number)', 1, 100, [0.7102, 1.1070948])
('minibatch Accuracy (i, batch number)', 1, 150, [0.72696364, 1.0435205])
('minibatch Accuracy (i, batch number)', 1, 200, [0.7573091, 0.9813392])
('minibatch Accuracy (i, batch number)', 1, 250, [0.7742909, 0.92297244])
('minibatch Accuracy (i, batch number)', 1, 300, [0.7903818, 0.86866295])
('minibatch Accuracy (i, batch number)', 1, 350, [0.8075455, 0.8193927])
('minibatch Accuracy (i, batch number)', 1, 400, [0.8213091, 0.7765796])
('minibatch Accuracy (i, batch number)', 1, 450, [0.8297455, 0.73718154])
('minibatch Accuracy (i, batch number)', 1, 500, [0.83254546, 0.70081395])
('minibatch Accuracy (i, batch number)', 1, 550, [0.8415091, 0.6675349])
('minibatch Accuracy (i, batch number)', 1, 600, [0.8479273, 0.6380764])
('minibatch Accuracy (i, batch number)', 1, 650, [0.8502, 0.6100074])
