Extracting ../MNIST_data/train-images-idx3-ubyte.gz
Extracting ../MNIST_data/train-labels-idx1-ubyte.gz
Extracting ../MNIST_data/t10k-images-idx3-ubyte.gz
Extracting ../MNIST_data/t10k-labels-idx1-ubyte.gz
('Train', (55000, 784), 'Test', (10000, 784))
('Details', 'mnist_uni_noise_kappa_4.csv', 'MNIST Grad -- New Framework', 100, 64, 25)
('minibatch Accuracy (i, batch number)', 0, 50, [0.09898182, 2.5529597])
('minibatch Accuracy (i, batch number)', 0, 100, [0.09898182, 2.4125583])
('minibatch Accuracy (i, batch number)', 0, 150, [0.099454544, 2.3222954])
('minibatch Accuracy (i, batch number)', 0, 200, [0.09898182, 2.3042161])
('minibatch Accuracy (i, batch number)', 0, 250, [0.11236364, 2.3000357])
('minibatch Accuracy (i, batch number)', 0, 300, [0.22010909, 2.2599907])
('minibatch Accuracy (i, batch number)', 0, 350, [0.29596364, 2.0961542])
('minibatch Accuracy (i, batch number)', 0, 400, [0.3563091, 1.8710002])
('minibatch Accuracy (i, batch number)', 0, 450, [0.49612728, 1.6338257])
('minibatch Accuracy (i, batch number)', 0, 500, [0.54898185, 1.4317801])
('minibatch Accuracy (i, batch number)', 0, 550, [0.6130546, 1.2888854])
('minibatch Accuracy (i, batch number)', 0, 600, [0.6308909, 1.1886536])
('minibatch Accuracy (i, batch number)', 0, 650, [0.6515273, 1.1132426])
('minibatch Accuracy (i, batch number)', 0, 700, [0.6827273, 1.0481442])
('minibatch Accuracy (i, batch number)', 0, 750, [0.7028546, 0.99042755])
('minibatch Accuracy (i, batch number)', 0, 800, [0.73432726, 0.9348884])
('minibatch Accuracy (i, batch number)', 0, 850, [0.7540909, 0.8851558])
('Accuracy', 0, 'Test', array([0.82120001]), 'Train', array([0.75627273]))
('minibatch Accuracy (i, batch number)', 1, 50, [0.77221817, 0.83120924])
('minibatch Accuracy (i, batch number)', 1, 100, [0.78203636, 0.786198])
('minibatch Accuracy (i, batch number)', 1, 150, [0.78769094, 0.74804276])
('minibatch Accuracy (i, batch number)', 1, 200, [0.79507273, 0.7150314])
('minibatch Accuracy (i, batch number)', 1, 250, [0.8000909, 0.68887])
('minibatch Accuracy (i, batch number)', 1, 300, [0.80325454, 0.6689148])
('minibatch Accuracy (i, batch number)', 1, 350, [0.8087818, 0.64652133])
('minibatch Accuracy (i, batch number)', 1, 400, [0.8115091, 0.62979406])
('minibatch Accuracy (i, batch number)', 1, 450, [0.8156545, 0.61412615])
('minibatch Accuracy (i, batch number)', 1, 500, [0.81914544, 0.6007283])
('minibatch Accuracy (i, batch number)', 1, 550, [0.8213091, 0.58767253])
('minibatch Accuracy (i, batch number)', 1, 600, [0.82552725, 0.57606316])
('minibatch Accuracy (i, batch number)', 1, 650, [0.82707274, 0.5674029])
('minibatch Accuracy (i, batch number)', 1, 700, [0.83034545, 0.55649793])
('minibatch Accuracy (i, batch number)', 1, 750, [0.8331818, 0.54821175])
('minibatch Accuracy (i, batch number)', 1, 800, [0.83558184, 0.54132146])
('minibatch Accuracy (i, batch number)', 1, 850, [0.8371818, 0.5348904])
('Accuracy', 1, 'Test', array([0.89529997]), 'Train', array([0.83721817]))
('minibatch Accuracy (i, batch number)', 2, 50, [0.8397273, 0.5254515])
('minibatch Accuracy (i, batch number)', 2, 100, [0.84156364, 0.52073216])
('minibatch Accuracy (i, batch number)', 2, 150, [0.8435091, 0.51336926])
('minibatch Accuracy (i, batch number)', 2, 200, [0.84458184, 0.5087269])
('minibatch Accuracy (i, batch number)', 2, 250, [0.8456727, 0.5047146])
('minibatch Accuracy (i, batch number)', 2, 300, [0.8474727, 0.49738097])
('minibatch Accuracy (i, batch number)', 2, 350, [0.8479818, 0.49449345])
('minibatch Accuracy (i, batch number)', 2, 400, [0.8487818, 0.4912728])
('minibatch Accuracy (i, batch number)', 2, 450, [0.851, 0.48488158])
('minibatch Accuracy (i, batch number)', 2, 500, [0.8518182, 0.48037678])
('minibatch Accuracy (i, batch number)', 2, 550, [0.8521636, 0.47709942])
('minibatch Accuracy (i, batch number)', 2, 600, [0.85416365, 0.47183266])
('minibatch Accuracy (i, batch number)', 2, 650, [0.8551818, 0.46791676])
('minibatch Accuracy (i, batch number)', 2, 700, [0.8571636, 0.465989])
('minibatch Accuracy (i, batch number)', 2, 750, [0.85752726, 0.46035504])
('minibatch Accuracy (i, batch number)', 2, 800, [0.85654545, 0.45998636])
('minibatch Accuracy (i, batch number)', 2, 850, [0.8588, 0.45377764])
('Accuracy', 2, 'Test', array([0.91070002]), 'Train', array([0.8592]))
('minibatch Accuracy (i, batch number)', 3, 50, [0.86123633, 0.449551])
('minibatch Accuracy (i, batch number)', 3, 100, [0.86225456, 0.44482365])
('minibatch Accuracy (i, batch number)', 3, 150, [0.8626, 0.4426867])
('minibatch Accuracy (i, batch number)', 3, 200, [0.8633091, 0.4401689])
('minibatch Accuracy (i, batch number)', 3, 250, [0.8640182, 0.4364206])
('minibatch Accuracy (i, batch number)', 3, 300, [0.8658364, 0.43333903])
('minibatch Accuracy (i, batch number)', 3, 350, [0.86636364, 0.43116423])
('minibatch Accuracy (i, batch number)', 3, 400, [0.86645454, 0.42889673])
('minibatch Accuracy (i, batch number)', 3, 450, [0.8681818, 0.42426798])
('minibatch Accuracy (i, batch number)', 3, 500, [0.8679636, 0.42370924])
('minibatch Accuracy (i, batch number)', 3, 550, [0.8700727, 0.41866094])
('minibatch Accuracy (i, batch number)', 3, 600, [0.8705818, 0.4163124])
('minibatch Accuracy (i, batch number)', 3, 650, [0.8704727, 0.4136755])
('minibatch Accuracy (i, batch number)', 3, 700, [0.87143636, 0.4123173])
('minibatch Accuracy (i, batch number)', 3, 750, [0.87363636, 0.40765128])
('minibatch Accuracy (i, batch number)', 3, 800, [0.8724545, 0.40817901])
('minibatch Accuracy (i, batch number)', 3, 850, [0.8749818, 0.40257132])
('Accuracy', 3, 'Test', array([0.92089999]), 'Train', array([0.87470907]))
('minibatch Accuracy (i, batch number)', 4, 50, [0.8741636, 0.40261206])
('minibatch Accuracy (i, batch number)', 4, 100, [0.87667274, 0.39530683])
('minibatch Accuracy (i, batch number)', 4, 150, [0.87667274, 0.3944467])
('minibatch Accuracy (i, batch number)', 4, 200, [0.87834543, 0.3918181])
('minibatch Accuracy (i, batch number)', 4, 250, [0.87903637, 0.39046192])
('minibatch Accuracy (i, batch number)', 4, 300, [0.8797455, 0.3884399])
('minibatch Accuracy (i, batch number)', 4, 350, [0.8789818, 0.38799044])
('minibatch Accuracy (i, batch number)', 4, 400, [0.8804909, 0.38455835])
('minibatch Accuracy (i, batch number)', 4, 450, [0.8817818, 0.37981436])
('minibatch Accuracy (i, batch number)', 4, 500, [0.8817091, 0.37958324])
('minibatch Accuracy (i, batch number)', 4, 550, [0.88314545, 0.37625867])
('minibatch Accuracy (i, batch number)', 4, 600, [0.8838909, 0.37450278])
('minibatch Accuracy (i, batch number)', 4, 650, [0.88314545, 0.37417582])
('minibatch Accuracy (i, batch number)', 4, 700, [0.88338184, 0.37265477])
('minibatch Accuracy (i, batch number)', 4, 750, [0.8845091, 0.36836374])
('minibatch Accuracy (i, batch number)', 4, 800, [0.8848, 0.367852])
('minibatch Accuracy (i, batch number)', 4, 850, [0.8858182, 0.3643718])
('Accuracy', 4, 'Test', array([0.92640001]), 'Train', array([0.88639998]))
('minibatch Accuracy (i, batch number)', 5, 50, [0.8873091, 0.36129174])
('minibatch Accuracy (i, batch number)', 5, 100, [0.8868545, 0.36058614])
('minibatch Accuracy (i, batch number)', 5, 150, [0.8875818, 0.35853067])
('minibatch Accuracy (i, batch number)', 5, 200, [0.88887274, 0.35634866])
('minibatch Accuracy (i, batch number)', 5, 250, [0.8906909, 0.35243848])
('minibatch Accuracy (i, batch number)', 5, 300, [0.89027274, 0.35327926])
('minibatch Accuracy (i, batch number)', 5, 350, [0.89003634, 0.3533149])
('minibatch Accuracy (i, batch number)', 5, 400, [0.89147276, 0.35010207])
('minibatch Accuracy (i, batch number)', 5, 450, [0.8924909, 0.34505445])
('minibatch Accuracy (i, batch number)', 5, 500, [0.89312726, 0.3433017])
('minibatch Accuracy (i, batch number)', 5, 550, [0.8946546, 0.34071916])
('minibatch Accuracy (i, batch number)', 5, 600, [0.8948, 0.34035236])
('minibatch Accuracy (i, batch number)', 5, 650, [0.89363635, 0.34005064])
('minibatch Accuracy (i, batch number)', 5, 700, [0.89649093, 0.33616498])
('minibatch Accuracy (i, batch number)', 5, 750, [0.89492726, 0.33933783])
('minibatch Accuracy (i, batch number)', 5, 800, [0.89689094, 0.33315536])
('minibatch Accuracy (i, batch number)', 5, 850, [0.89745456, 0.33010885])
('Accuracy', 5, 'Test', array([0.92979997]), 'Train', array([0.89729089]))
('minibatch Accuracy (i, batch number)', 6, 50, [0.8976, 0.3288778])
('minibatch Accuracy (i, batch number)', 6, 100, [0.8991455, 0.32672277])
('minibatch Accuracy (i, batch number)', 6, 150, [0.9, 0.32309937])
('minibatch Accuracy (i, batch number)', 6, 200, [0.8974364, 0.32790327])
('minibatch Accuracy (i, batch number)', 6, 250, [0.90145457, 0.3208155])
('minibatch Accuracy (i, batch number)', 6, 300, [0.9021636, 0.31885543])
('minibatch Accuracy (i, batch number)', 6, 350, [0.9022545, 0.3171294])
('minibatch Accuracy (i, batch number)', 6, 400, [0.90001816, 0.32109055])
('minibatch Accuracy (i, batch number)', 6, 450, [0.9006909, 0.31933457])
('minibatch Accuracy (i, batch number)', 6, 500, [0.90256363, 0.314074])
('minibatch Accuracy (i, batch number)', 6, 550, [0.9034909, 0.31192544])
('minibatch Accuracy (i, batch number)', 6, 600, [0.9041455, 0.3087677])
('minibatch Accuracy (i, batch number)', 6, 650, [0.90427274, 0.3075263])
('minibatch Accuracy (i, batch number)', 6, 700, [0.9030909, 0.3096559])
('minibatch Accuracy (i, batch number)', 6, 750, [0.9061818, 0.3038449])
('minibatch Accuracy (i, batch number)', 6, 800, [0.9070727, 0.30192828])
('minibatch Accuracy (i, batch number)', 6, 850, [0.90563637, 0.30274376])
('Accuracy', 6, 'Test', array([0.93430001]), 'Train', array([0.90681821]))
('minibatch Accuracy (i, batch number)', 7, 50, [0.9079818, 0.2972308])
('minibatch Accuracy (i, batch number)', 7, 100, [0.9090545, 0.29595527])
('minibatch Accuracy (i, batch number)', 7, 150, [0.90703636, 0.29810077])
('minibatch Accuracy (i, batch number)', 7, 200, [0.9100364, 0.2923389])
('minibatch Accuracy (i, batch number)', 7, 250, [0.9098909, 0.29219574])
('minibatch Accuracy (i, batch number)', 7, 300, [0.9113455, 0.28802663])
('minibatch Accuracy (i, batch number)', 7, 350, [0.9102727, 0.29020578])
('minibatch Accuracy (i, batch number)', 7, 400, [0.9102727, 0.28961766])
('minibatch Accuracy (i, batch number)', 7, 450, [0.91136366, 0.28502178])
('minibatch Accuracy (i, batch number)', 7, 500, [0.913, 0.28360003])
('minibatch Accuracy (i, batch number)', 7, 550, [0.9135091, 0.28045553])
('minibatch Accuracy (i, batch number)', 7, 600, [0.91252726, 0.28153747])
('minibatch Accuracy (i, batch number)', 7, 650, [0.9147273, 0.278288])
('minibatch Accuracy (i, batch number)', 7, 700, [0.9136364, 0.2791099])
('minibatch Accuracy (i, batch number)', 7, 750, [0.91483635, 0.275926])
('minibatch Accuracy (i, batch number)', 7, 800, [0.9172182, 0.270734])
('minibatch Accuracy (i, batch number)', 7, 850, [0.9170727, 0.2737366])
('Accuracy', 7, 'Test', array([0.93970001]), 'Train', array([0.91649091]))
('minibatch Accuracy (i, batch number)', 8, 50, [0.91858184, 0.2679593])
('minibatch Accuracy (i, batch number)', 8, 100, [0.91761816, 0.2679089])
('minibatch Accuracy (i, batch number)', 8, 150, [0.91767275, 0.26589382])
('minibatch Accuracy (i, batch number)', 8, 200, [0.91514546, 0.2715503])
('minibatch Accuracy (i, batch number)', 8, 250, [0.9205091, 0.26279783])
('minibatch Accuracy (i, batch number)', 8, 300, [0.919, 0.26323524])
('minibatch Accuracy (i, batch number)', 8, 350, [0.9206182, 0.25996757])
('minibatch Accuracy (i, batch number)', 8, 400, [0.9202, 0.25885084])
('minibatch Accuracy (i, batch number)', 8, 450, [0.9218364, 0.25583246])
('minibatch Accuracy (i, batch number)', 8, 500, [0.9208364, 0.25766268])
('minibatch Accuracy (i, batch number)', 8, 550, [0.9225091, 0.25394526])
('minibatch Accuracy (i, batch number)', 8, 600, [0.9202545, 0.25756353])
('minibatch Accuracy (i, batch number)', 8, 650, [0.9240182, 0.25117517])
('minibatch Accuracy (i, batch number)', 8, 700, [0.924, 0.24942489])
('minibatch Accuracy (i, batch number)', 8, 750, [0.9233818, 0.25096676])
('minibatch Accuracy (i, batch number)', 8, 800, [0.9262546, 0.24283032])
('minibatch Accuracy (i, batch number)', 8, 850, [0.924, 0.2457813])
('Accuracy', 8, 'Test', array([0.93949997]), 'Train', array([0.92661816]))
('minibatch Accuracy (i, batch number)', 9, 50, [0.9274, 0.23969413])
('minibatch Accuracy (i, batch number)', 9, 100, [0.92727274, 0.23867036])
('minibatch Accuracy (i, batch number)', 9, 150, [0.92858183, 0.236525])
('minibatch Accuracy (i, batch number)', 9, 200, [0.92809093, 0.23695612])
('minibatch Accuracy (i, batch number)', 9, 250, [0.9291273, 0.23460329])
('minibatch Accuracy (i, batch number)', 9, 300, [0.92843634, 0.23421569])
('minibatch Accuracy (i, batch number)', 9, 350, [0.9286364, 0.23333189])
('minibatch Accuracy (i, batch number)', 9, 400, [0.9314, 0.22807156])
('minibatch Accuracy (i, batch number)', 9, 450, [0.93070906, 0.22996388])
('minibatch Accuracy (i, batch number)', 9, 500, [0.9299273, 0.22948043])
('minibatch Accuracy (i, batch number)', 9, 550, [0.9324909, 0.22378863])
('minibatch Accuracy (i, batch number)', 9, 600, [0.93252724, 0.22557859])
('minibatch Accuracy (i, batch number)', 9, 650, [0.9338, 0.22074647])
('minibatch Accuracy (i, batch number)', 9, 700, [0.93169093, 0.22512235])
('minibatch Accuracy (i, batch number)', 9, 750, [0.93463635, 0.2182572])
('minibatch Accuracy (i, batch number)', 9, 800, [0.93543637, 0.21583857])
('minibatch Accuracy (i, batch number)', 9, 850, [0.9364182, 0.21485987])
('Accuracy', 9, 'Test', array([0.94400001]), 'Train', array([0.93452728]))
('minibatch Accuracy (i, batch number)', 10, 50, [0.9378909, 0.21101367])
('minibatch Accuracy (i, batch number)', 10, 100, [0.93645453, 0.21182027])
('minibatch Accuracy (i, batch number)', 10, 150, [0.9383818, 0.20848663])
('minibatch Accuracy (i, batch number)', 10, 200, [0.9389455, 0.20769604])
('minibatch Accuracy (i, batch number)', 10, 250, [0.9378, 0.2072095])
('minibatch Accuracy (i, batch number)', 10, 300, [0.9382, 0.20630246])
('minibatch Accuracy (i, batch number)', 10, 350, [0.93976367, 0.20368963])
('minibatch Accuracy (i, batch number)', 10, 400, [0.9384182, 0.20490916])
('minibatch Accuracy (i, batch number)', 10, 450, [0.9408182, 0.20018299])
('minibatch Accuracy (i, batch number)', 10, 500, [0.9404182, 0.20127589])
('minibatch Accuracy (i, batch number)', 10, 550, [0.93783635, 0.20399964])
('minibatch Accuracy (i, batch number)', 10, 600, [0.9422909, 0.19536068])
('minibatch Accuracy (i, batch number)', 10, 650, [0.94054544, 0.19678533])
('minibatch Accuracy (i, batch number)', 10, 700, [0.94283634, 0.19433942])
('minibatch Accuracy (i, batch number)', 10, 750, [0.9439818, 0.19048902])
('minibatch Accuracy (i, batch number)', 10, 800, [0.9449818, 0.19021383])
('minibatch Accuracy (i, batch number)', 10, 850, [0.9454727, 0.18812107])
('Accuracy', 10, 'Test', array([0.94749999]), 'Train', array([0.94707274]))
('minibatch Accuracy (i, batch number)', 11, 50, [0.9464909, 0.184641])
('minibatch Accuracy (i, batch number)', 11, 100, [0.94601816, 0.18411213])
('minibatch Accuracy (i, batch number)', 11, 150, [0.9462, 0.18319745])
('minibatch Accuracy (i, batch number)', 11, 200, [0.9478, 0.18044367])
('minibatch Accuracy (i, batch number)', 11, 250, [0.9473091, 0.18065988])
('minibatch Accuracy (i, batch number)', 11, 300, [0.9479273, 0.1784499])
('minibatch Accuracy (i, batch number)', 11, 350, [0.94847274, 0.17778563])
('minibatch Accuracy (i, batch number)', 11, 400, [0.94772726, 0.1779903])
('minibatch Accuracy (i, batch number)', 11, 450, [0.9504909, 0.17416967])
('minibatch Accuracy (i, batch number)', 11, 500, [0.95003635, 0.17292841])
('minibatch Accuracy (i, batch number)', 11, 550, [0.95016366, 0.17221616])
('minibatch Accuracy (i, batch number)', 11, 600, [0.9490909, 0.1725629])
('minibatch Accuracy (i, batch number)', 11, 650, [0.9497455, 0.17239602])
('minibatch Accuracy (i, batch number)', 11, 700, [0.95214546, 0.16671255])
('minibatch Accuracy (i, batch number)', 11, 750, [0.9524182, 0.16652344])
('minibatch Accuracy (i, batch number)', 11, 800, [0.9511273, 0.16677704])
('minibatch Accuracy (i, batch number)', 11, 850, [0.9526182, 0.16344965])
('Accuracy', 11, 'Test', array([0.94809997]), 'Train', array([0.95367271]))
('minibatch Accuracy (i, batch number)', 12, 50, [0.9548182, 0.15931122])
('minibatch Accuracy (i, batch number)', 12, 100, [0.9550909, 0.1577561])
('minibatch Accuracy (i, batch number)', 12, 150, [0.9545091, 0.15841043])
('minibatch Accuracy (i, batch number)', 12, 200, [0.9551455, 0.15609846])
('minibatch Accuracy (i, batch number)', 12, 250, [0.95427275, 0.15701705])
('minibatch Accuracy (i, batch number)', 12, 300, [0.9554727, 0.15390015])
('minibatch Accuracy (i, batch number)', 12, 350, [0.95616364, 0.15338026])
('minibatch Accuracy (i, batch number)', 12, 400, [0.95623636, 0.1520418])
('minibatch Accuracy (i, batch number)', 12, 450, [0.9560909, 0.1507979])
('minibatch Accuracy (i, batch number)', 12, 500, [0.9576909, 0.14698029])
('minibatch Accuracy (i, batch number)', 12, 550, [0.95774543, 0.14704983])
('minibatch Accuracy (i, batch number)', 12, 600, [0.9594182, 0.14377664])
('minibatch Accuracy (i, batch number)', 12, 650, [0.9560909, 0.14865594])
('minibatch Accuracy (i, batch number)', 12, 700, [0.9610364, 0.13911548])
('minibatch Accuracy (i, batch number)', 12, 750, [0.95878184, 0.143696])
('minibatch Accuracy (i, batch number)', 12, 800, [0.9603636, 0.1394173])
('minibatch Accuracy (i, batch number)', 12, 850, [0.9623455, 0.1367756])
('Accuracy', 12, 'Test', array([0.94880003]), 'Train', array([0.96183634]))
('minibatch Accuracy (i, batch number)', 13, 50, [0.9642909, 0.1320408])
('minibatch Accuracy (i, batch number)', 13, 100, [0.96187276, 0.13601239])
('minibatch Accuracy (i, batch number)', 13, 150, [0.9624364, 0.13293435])
('minibatch Accuracy (i, batch number)', 13, 200, [0.9634, 0.13079745])
('minibatch Accuracy (i, batch number)', 13, 250, [0.96334547, 0.12973294])
('minibatch Accuracy (i, batch number)', 13, 300, [0.96303636, 0.13169064])
('minibatch Accuracy (i, batch number)', 13, 350, [0.96458185, 0.1292234])
('minibatch Accuracy (i, batch number)', 13, 400, [0.96345454, 0.12962629])
('minibatch Accuracy (i, batch number)', 13, 450, [0.96596366, 0.12522987])
('minibatch Accuracy (i, batch number)', 13, 500, [0.96761817, 0.12208477])
('minibatch Accuracy (i, batch number)', 13, 550, [0.9672727, 0.12132294])
('minibatch Accuracy (i, batch number)', 13, 600, [0.9669273, 0.121546805])
('minibatch Accuracy (i, batch number)', 13, 650, [0.96836364, 0.11881092])
('minibatch Accuracy (i, batch number)', 13, 700, [0.9695455, 0.116298124])
('minibatch Accuracy (i, batch number)', 13, 750, [0.9695455, 0.11574226])
('minibatch Accuracy (i, batch number)', 13, 800, [0.9712909, 0.11240057])
('minibatch Accuracy (i, batch number)', 13, 850, [0.96974546, 0.114256136])
('Accuracy', 13, 'Test', array([0.95139998]), 'Train', array([0.96910912]))
('minibatch Accuracy (i, batch number)', 14, 50, [0.9698, 0.113105655])
('minibatch Accuracy (i, batch number)', 14, 100, [0.97025454, 0.111522816])
('minibatch Accuracy (i, batch number)', 14, 150, [0.97185457, 0.10911446])
('minibatch Accuracy (i, batch number)', 14, 200, [0.9710182, 0.10993814])
('minibatch Accuracy (i, batch number)', 14, 250, [0.96863633, 0.11208521])
('minibatch Accuracy (i, batch number)', 14, 300, [0.97056365, 0.10946945])
('minibatch Accuracy (i, batch number)', 14, 350, [0.9702182, 0.108602926])
('minibatch Accuracy (i, batch number)', 14, 400, [0.9710182, 0.10615011])
('minibatch Accuracy (i, batch number)', 14, 450, [0.9730909, 0.10171465])
('minibatch Accuracy (i, batch number)', 14, 500, [0.97354543, 0.100996055])
('minibatch Accuracy (i, batch number)', 14, 550, [0.971, 0.104695514])
('minibatch Accuracy (i, batch number)', 14, 600, [0.9746909, 0.09767175])
('minibatch Accuracy (i, batch number)', 14, 650, [0.9760727, 0.09558718])
('minibatch Accuracy (i, batch number)', 14, 700, [0.9766545, 0.0939729])
('minibatch Accuracy (i, batch number)', 14, 750, [0.97492725, 0.09713367])
('minibatch Accuracy (i, batch number)', 14, 800, [0.9767454, 0.091829404])
('minibatch Accuracy (i, batch number)', 14, 850, [0.97687274, 0.09192069])
('Accuracy', 14, 'Test', array([0.95209998]), 'Train', array([0.9769091]))
('minibatch Accuracy (i, batch number)', 15, 50, [0.97850907, 0.08856485])
('minibatch Accuracy (i, batch number)', 15, 100, [0.97850907, 0.08832416])
('minibatch Accuracy (i, batch number)', 15, 150, [0.9792182, 0.086146206])
('minibatch Accuracy (i, batch number)', 15, 200, [0.97949094, 0.084025525])
('minibatch Accuracy (i, batch number)', 15, 250, [0.97441816, 0.093155526])
('minibatch Accuracy (i, batch number)', 15, 300, [0.97303635, 0.094510525])
('minibatch Accuracy (i, batch number)', 15, 350, [0.9793091, 0.08338065])
('minibatch Accuracy (i, batch number)', 15, 400, [0.97990906, 0.08177368])
('minibatch Accuracy (i, batch number)', 15, 450, [0.97810906, 0.084659845])
('minibatch Accuracy (i, batch number)', 15, 500, [0.9802909, 0.079857685])
('minibatch Accuracy (i, batch number)', 15, 550, [0.98112726, 0.07745686])
('minibatch Accuracy (i, batch number)', 15, 600, [0.97705454, 0.08512486])
('minibatch Accuracy (i, batch number)', 15, 650, [0.9800182, 0.07818938])
('minibatch Accuracy (i, batch number)', 15, 700, [0.9807091, 0.077072375])
('minibatch Accuracy (i, batch number)', 15, 750, [0.98176366, 0.07383554])
('minibatch Accuracy (i, batch number)', 15, 800, [0.98261815, 0.07311507])
('minibatch Accuracy (i, batch number)', 15, 850, [0.9823091, 0.073367245])
('Accuracy', 15, 'Test', array([0.9526]), 'Train', array([0.9811818]))
('minibatch Accuracy (i, batch number)', 16, 50, [0.9833636, 0.07071395])
('minibatch Accuracy (i, batch number)', 16, 100, [0.98423636, 0.06953198])
('minibatch Accuracy (i, batch number)', 16, 150, [0.9839636, 0.069636516])
('minibatch Accuracy (i, batch number)', 16, 200, [0.98356366, 0.068418935])
('minibatch Accuracy (i, batch number)', 16, 250, [0.98383635, 0.067378916])
('minibatch Accuracy (i, batch number)', 16, 300, [0.9839636, 0.06632718])
('minibatch Accuracy (i, batch number)', 16, 350, [0.9842727, 0.066343576])
('minibatch Accuracy (i, batch number)', 16, 400, [0.98456365, 0.06445773])
('minibatch Accuracy (i, batch number)', 16, 450, [0.9848545, 0.06350655])
('minibatch Accuracy (i, batch number)', 16, 500, [0.9849455, 0.062857114])
('minibatch Accuracy (i, batch number)', 16, 550, [0.98465455, 0.06308519])
('minibatch Accuracy (i, batch number)', 16, 600, [0.9856182, 0.061663095])
('minibatch Accuracy (i, batch number)', 16, 650, [0.9857091, 0.060922477])
('minibatch Accuracy (i, batch number)', 16, 700, [0.9876182, 0.05712147])
('minibatch Accuracy (i, batch number)', 16, 750, [0.98752725, 0.057216443])
